# Distance [km], Avg speed [km/h], Avg fuel consumption [l/100 km]
 12.4 23 6.9 
 14.9 35 5.6 
 16 30 5.7 
 4.3 17 8.4 
 4.4 22 7.0 
 7.1 32 5.8 
 6.0 41 5.7 
 12.6 27 6.5 
 1.3 13 10.1 
 1.1 15 8.6 
 1.3 14 9.6 
 15.9 33 5.7 
 15.4 30 6.3 
 16 28 6.3 
 98.6 60 5.0 
 98.4 68 4.7 
 15.4 26 6.4 
 15.9 27 5.9 
 8.3 26 6.6 
 8.4 32 5.4 
 10.1 10 11.2 
 10.7 36 5.4 
 15.4 21 7.0 
 15.9 29 5.5 
 7.8 32 6.6 
 15.6 29 5.7 
 15.9 26 6.0 
 12.9 41 5.6 
 7.0 28 7.3 
 10.4 21 7.8 
 15.4 30 6.1 
 15.7 34 5.8 
 7.7 23 7.1 
 8.7 24 7.0 
 4.4 20 8.2 
 4.6 20 7.0 
 12.9 37 5.8 
 15.4 25 6.7 
 4.7 12 9.7 
 7.1 20 7.4 
 10.3 21 6.9 
 2.1 13 10.2 
 8.4 19 8.0 
 8.4 23 7.2 
 219.1 64 5.3 
 55.3 58 4.2 
 101.9 70 4.3 
 69.3 77 4.4 
 10.3 30 6.5 
 10.6 29 7.4 
 13.3 28 6.0 
 10.6 25 6.7 
 8.5 22 7.9 
 8.6 34 6.1 
 10.4 34 6.3 
 9.8 23 7.0 
 4.5 26 7.3 
 5.5 22 6.9 
 23.1 32 5.4 
 0.9 12 8.7 
 10.3 32 6.0 
 11 19 8.2 
 8.4 27 6.7 
 15.4 27 6.7 
 4.3 23 6.9 
 18.7 33 6.6 
 7.8 22 7.6 
 9.8 28 6.4 
 10 40 6.0 
 10.3 43 5.6 
 98.3 62 5.1 
 1.9 25 7.1 
 98 51 5.0 
 10.4 29 6.8 
 10.7 28 5.9 
 9.6 25 6.3 
 8.4 30 6.5 
 10.4 28 6.0 
 10.7 20 7.9 
 15.9 24 6.3 
 23.1 22 6.1 
 2 19 6.9 
 13.1 27 6.2 
 7.8 26 7.2 
 12.7 38 5.1 
 219.2 65 4.8 
 226 68 4.7 
 17.8 38 5.3 
 15.9 29 5.7 
 9.2 23 7.6 
 8.4 30 6.5 
 10.4 31 6.2 
 9.3 27 7.6 
 9.3 16 9.1 
 10.4 24 6.6 
 294 60 5.7 
 322.2 59 5.6 
 19.1 27 6.4 
 21.2 28 5.9 
 10.9 19 7.7 
 11.7 22 7.4 
 4.7 18 8.2 
 6.2 20 7.1 
 0.6 7 12.7 
 11.4 38 5.1 
 1.9 21 6.7 
 14.2 35 5.7 
 14.2 28 6.8 
 7.8 25 7.2 
 9.6 36 5.8 
 5.6 24 7.4 
 5.4 20 7.4 
 7.9 28 6.6 
 7.4 27 6.8 
 8.5 23 7.5 
 221.7 67 4.9 
 226.3 63 4.8 
 17.8 34 5.7 
 1.1 18 8.4 
 14.5 32 5.6 
 7.8 26 7.0 
 9.1 25 6.4 
 97.1 58 5.5 
 101.2 62 5.5 
 21.1 30 5.8 
 2.3 18 7.1 
 15.9 31 6.0 
 17.8 36 5.0 
 1.1 18 7.6 
 12.7 25 6.1 
 9.1 24 6.3 
 97.7 75 4.8 
 90.8 41 5.4 
 7.8 30 6.5 
 8.4 27 5.8 
 10.4 29 6.1 
 11.5 29 6.2 
 10.9 22 6.5 
 10.7 26 6.8 
 17.8 34 5.6 
 10.9 26 6.4 
 13.8 13 10.4 
 10.7 22 7.2 
 10.7 35 6.1 
 16.9 37 5.5 
 2.1 20 7.6 
 3.0 17 7.6 
 16 33 5.6 
